RPP1  Regional Price Parities,,,,
 ,,,,
Bureau of Economic Analysis ,,,,
Metropolitan Statistical Area,,,,
GeoFips,GeoName,LineCode,Description,2013
999,United States (Nonmetropolitan Portion),1,RPPs: All items,87.7
999,United States (Nonmetropolitan Portion),2,  RPPs: Goods,93.9
999,United States (Nonmetropolitan Portion),3,  RPPs: Services: Rents,64.3
999,United States (Nonmetropolitan Portion),4,  RPPs: Services: Other,92.3
10180,"Abilene, TX (Metropolitan Statistical Area)",1,RPPs: All items,91.3
10180,"Abilene, TX (Metropolitan Statistical Area)",2,  RPPs: Goods,97
10180,"Abilene, TX (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,76.5
10180,"Abilene, TX (Metropolitan Statistical Area)",4,  RPPs: Services: Other,94.1
10420,"Akron, OH (Metropolitan Statistical Area)",1,RPPs: All items,88.9
10420,"Akron, OH (Metropolitan Statistical Area)",2,  RPPs: Goods,95
10420,"Akron, OH (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,77.7
10420,"Akron, OH (Metropolitan Statistical Area)",4,  RPPs: Services: Other,88.5
10500,"Albany, GA (Metropolitan Statistical Area)",1,RPPs: All items,84.3
10500,"Albany, GA (Metropolitan Statistical Area)",2,  RPPs: Goods,96.9
10500,"Albany, GA (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,55.5
10500,"Albany, GA (Metropolitan Statistical Area)",4,  RPPs: Services: Other,94
10540,"Albany, OR (Metropolitan Statistical Area)",1,RPPs: All items,93.5
10540,"Albany, OR (Metropolitan Statistical Area)",2,  RPPs: Goods,98.8
10540,"Albany, OR (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,85
10540,"Albany, OR (Metropolitan Statistical Area)",4,  RPPs: Services: Other,94
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",1,RPPs: All items,99
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",2,  RPPs: Goods,97.8
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,104.7
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",4,  RPPs: Services: Other,97.5
10740,"Albuquerque, NM (Metropolitan Statistical Area)",1,RPPs: All items,97.1
10740,"Albuquerque, NM (Metropolitan Statistical Area)",2,  RPPs: Goods,97.3
10740,"Albuquerque, NM (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,90.6
10740,"Albuquerque, NM (Metropolitan Statistical Area)",4,  RPPs: Services: Other,100.5
10780,"Alexandria, LA (Metropolitan Statistical Area)",1,RPPs: All items,88.4
10780,"Alexandria, LA (Metropolitan Statistical Area)",2,  RPPs: Goods,97.1
10780,"Alexandria, LA (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,64.9
10780,"Alexandria, LA (Metropolitan Statistical Area)",4,  RPPs: Services: Other,94.1
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",1,RPPs: All items,100
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",2,  RPPs: Goods,98.3
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,102.1
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",4,  RPPs: Services: Other,100.8
11020,"Altoona, PA (Metropolitan Statistical Area)",1,RPPs: All items,90.1
11020,"Altoona, PA (Metropolitan Statistical Area)",2,  RPPs: Goods,97.8
11020,"Altoona, PA (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,64
11020,"Altoona, PA (Metropolitan Statistical Area)",4,  RPPs: Services: Other,97.5
11100,"Amarillo, TX (Metropolitan Statistical Area)",1,RPPs: All items,93.1
11100,"Amarillo, TX (Metropolitan Statistical Area)",2,  RPPs: Goods,97.4
11100,"Amarillo, TX (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,82.5
11100,"Amarillo, TX (Metropolitan Statistical Area)",4,  RPPs: Services: Other,94.3
11180,"Ames, IA (Metropolitan Statistical Area)",1,RPPs: All items,89.5
11180,"Ames, IA (Metropolitan Statistical Area)",2,  RPPs: Goods,91.2
11180,"Ames, IA (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,88.1
11180,"Ames, IA (Metropolitan Statistical Area)",4,  RPPs: Services: Other,88.6
11260,"Anchorage, AK (Metropolitan Statistical Area)",1,RPPs: All items,110.4
11260,"Anchorage, AK (Metropolitan Statistical Area)",2,  RPPs: Goods,104.5
11260,"Anchorage, AK (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,143.8
11260,"Anchorage, AK (Metropolitan Statistical Area)",4,  RPPs: Services: Other,103
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",1,RPPs: All items,102.4
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",2,  RPPs: Goods,99.6
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,114
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",4,  RPPs: Services: Other,100.1
11500,"Anniston-Oxford-Jacksonville, AL (Metropolitan Statistical Area)",1,RPPs: All items,85
11500,"Anniston-Oxford-Jacksonville, AL (Metropolitan Statistical Area)",2,  RPPs: Goods,97.6
11500,"Anniston-Oxford-Jacksonville, AL (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,53.4
11500,"Anniston-Oxford-Jacksonville, AL (Metropolitan Statistical Area)",4,  RPPs: Services: Other,94.3
11540,"Appleton, WI (Metropolitan Statistical Area)",1,RPPs: All items,93.2
11540,"Appleton, WI (Metropolitan Statistical Area)",2,  RPPs: Goods,97.5
11540,"Appleton, WI (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,80.3
11540,"Appleton, WI (Metropolitan Statistical Area)",4,  RPPs: Services: Other,94.7
11700,"Asheville, NC (Metropolitan Statistical Area)",1,RPPs: All items,92.2
11700,"Asheville, NC (Metropolitan Statistical Area)",2,  RPPs: Goods,96
11700,"Asheville, NC (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,84.5
11700,"Asheville, NC (Metropolitan Statistical Area)",4,  RPPs: Services: Other,93.6
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",1,RPPs: All items,91.8
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",2,  RPPs: Goods,97.3
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,79.3
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",4,  RPPs: Services: Other,94.2
12060,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",1,RPPs: All items,95.2
12060,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",2,  RPPs: Goods,97.9
12060,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,92
12060,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",4,  RPPs: Services: Other,94.3
12100,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",1,RPPs: All items,107.7
12100,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",2,  RPPs: Goods,104.1
12100,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,111.1
12100,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",4,  RPPs: Services: Other,108.9
12220,"Auburn-Opelika, AL (Metropolitan Statistical Area)",1,RPPs: All items,86.1
12220,"Auburn-Opelika, AL (Metropolitan Statistical Area)",2,  RPPs: Goods,92.4
12220,"Auburn-Opelika, AL (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,74.4
12220,"Auburn-Opelika, AL (Metropolitan Statistical Area)",4,  RPPs: Services: Other,91.4
12260,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",1,RPPs: All items,89.9
